iter	Passed	Remaining
409	4250	933
410	4264	923
411	4278	913
412	4292	904
413	4306	894
414	4319	884
415	4335	875
416	4355	866
417	4375	858
418	4398	850
419	4420	841
420	4439	833
421	4458	824
422	4484	816
423	4506	807
424	4528	799
425	4549	790
426	4570	781
427	4590	772
428	4614	763
429	4640	755
430	4670	747
431	4699	739
432	4723	730
433	4751	722
434	4777	713
435	4802	704
436	4828	696
437	4852	686
438	4881	678
439	4907	669
440	4937	660
441	4964	651
442	4991	642
443	5012	632
444	5043	623
445	5071	613
446	5096	604
447	5131	595
448	5157	585
449	5184	576
450	5206	565
451	5231	555
452	5254	545
453	5282	535
454	5305	524
455	5328	514
456	5349	503
457	5374	492
458	5397	482
459	5422	471
460	5447	460
461	5468	449
462	5493	439
463	5516	428
464	5540	417
465	5564	406
466	5588	394
467	5617	384
468	5643	373
469	5669	361
470	5695	350
471	5722	339
472	5744	327
473	5768	316
474	5791	304
475	5816	293
476	5838	281
477	5859	269
478	5886	258
479	5914	246
480	5950	235
481	5994	223
482	6022	211
483	6050	200
484	6078	187
485	6107	175
486	6133	163
487	6160	151
488	6187	139
489	6212	126
490	6236	114
491	6261	101
492	6284	89
493	6306	76
494	6326	63
495	6348	51
496	6371	38
497	6393	25
498	6412	12
499	6434	0
